date,time,route,route_type,origin,destination,flight_number,airline,status
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,BA1991,British Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,Y42917,Volaris,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,TN1181,Air Tahiti Nui,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,IB4418,Iberia,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,CX7547,Cathay Pacific,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,BA5428,British Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,TN1183,Air Tahiti Nui,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,QF4837,Qantas,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,IB4996,Iberia,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,GF4217,Gulf Air,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,FJ5064,Fiji Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,CX7560,Cathay Pacific,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,BA1993,British Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,TN1248,Air Tahiti Nui,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,QR7649,Qatar Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,QF4192,Qantas,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,CZ1683,China Southern Airlines,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,CX7728,Cathay Pacific,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,BA6637,British Airways,active
2025-12-26,23:34:39,DFW to Los Angeles,domestic,DFW,LAX,TN1191,Air Tahiti Nui,active
