date,time,route,route_type,origin,destination,flight_number,airline,status
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA2438,British Airways,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA2437,British Airways,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QF3102,Qantas,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,GF4207,Gulf Air,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA2444,British Airways,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QR9132,Qatar Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QF3249,Qantas,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,Y42604,Volaris,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,GF6417,Gulf Air,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA2443,British Airways,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AY4082,Finnair,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,TK8632,Turkish Airlines,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,LH7471,Lufthansa,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AC4853,Air Canada,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QR9610,Qatar Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QF3105,Qantas,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,GF4205,Gulf Air,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,EI7132,Aer Lingus,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA6688,British Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,SN9002,Brussels Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,LX3327,SWISS,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,EK6057,Emirates,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AV2018,SA AVIANCA,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AC5185,Air Canada,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1573,American Airlines,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,RJ7266,Royal Jordanian,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QF4677,Qantas,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,IB4573,Iberia,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,EI7130,Aer Lingus,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA2435,British Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1898,American Airlines,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA2364,American Airlines,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,RJ7321,Royal Jordanian,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QR9012,Qatar Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,QF4314,Qantas,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,EI7165,Aer Lingus,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,BA5253,British Airways,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,SN9001,Brussels Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,OS7708,Austrian,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,NH7603,ANA,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,LH7469,Lufthansa,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AC4855,Air Canada,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,F93244,Frontier Airlines,active
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1290,American Airlines,active
